Date,Close/Last,Volume,Open,High,Low
2019-01-14,102,27194560,$101.90 ,$102.87 ,$101.26 
2019-01-15,105,31537490,$102.51 ,$105.05 ,$101.88 
2019-01-16,105,29655860,$105.26 ,$106.26 ,$104.96 
2019-01-17,106,27151570,$105 ,$106.63 ,$104.76 
2019-01-18,108,37299850,$107.46 ,$107.90 ,$105.91 
2019-01-22,106,32092050,$106.75 ,$107.10 ,$104.86 
2019-01-23,107,25512110,$106.12 ,$107.04 ,$105.34 
2019-01-24,106,23125910,$106.86 ,$107 ,$105.34 
2019-01-25,107,31182240,$107.24 ,$107.88 ,$106.59 
2019-01-28,105,29402020,$106.26 ,$106.48 ,$104.66 
2019-01-29,103,31262200,$104.88 ,$104.97 ,$102.17 
2019-01-30,106,47203190,$104.62 ,$106.38 ,$104.33 
2019-01-31,104,55442870,$103.80 ,$105.22 ,$103.18 
2019-02-01,103,35243730,$103.78 ,$104.10 ,$102.35 
2019-02-04,106,31216260,$102.87 ,$105.80 ,$102.77 
2019-02-05,107,27270810,$106.06 ,$107.27 ,$105.96 
2019-02-06,106,20577980,$107 ,$107 ,$105.53 
2019-02-07,105,29735930,$105.19 ,$105.59 ,$104.29 
2019-02-08,106,21453990,$104.39 ,$105.78 ,$104.26 
2019-02-11,105,18753750,$106.20 ,$106.58 ,$104.97 
2019-02-12,107,25018670,$106.14 ,$107.14 ,$105.48 
2019-02-13,107,18337830,$107.50 ,$107.78 ,$106.71 
2019-02-14,107,21745770,$106.31 ,$107.29 ,$105.66 
2019-02-15,108,26589160,$107.91 ,$108.30 ,$107.36 
2019-02-19,108,17982860,$107.79 ,$108.66 ,$107.78 
2019-02-20,107,21603580,$107.86 ,$107.94 ,$106.29 
2019-02-21,109,28856200,$106.90 ,$109.48 ,$106.87 
2019-02-22,111,27746840,$110.05 ,$111.20 ,$109.82 
2019-02-25,112,23723500,$111.76 ,$112.18 ,$111.26 
2019-02-26,112,21513210,$111.26 ,$113.24 ,$111.17 
2019-02-27,112,21471170,$111.69 ,$112.36 ,$110.88 
2019-02-28,112,28948570,$112.04 ,$112.88 ,$111.73 
2019-03-01,113,20821260,$112.89 ,$113.02 ,$111.67 
2019-03-04,112,25869380,$113.02 ,$113.25 ,$110.80 
